produto,vendas,regiao,mes,ano,preco_unitario
Notebook,450,Norte,Janeiro,2026,2500.00
Smartphone,680,Sul,Janeiro,2026,1200.00
Tablet,320,Centro,Janeiro,2026,800.00
Monitor,180,Norte,Janeiro,2026,1500.00
Teclado,520,Sul,Janeiro,2026,150.00
Mouse,750,Centro,Janeiro,2026,80.00
Headset,290,Norte,Janeiro,2026,300.00
Webcam,380,Sul,Janeiro,2026,200.00
Impressora,150,Centro,Janeiro,2026,600.00
Scanner,90,Norte,Fevereiro,2026,400.00
Notebook,420,Sul,Fevereiro,2026,2500.00
Smartphone,710,Centro,Fevereiro,2026,1200.00
Tablet,340,Norte,Fevereiro,2026,800.00
Monitor,200,Sul,Fevereiro,2026,1500.00
Teclado,580,Centro,Fevereiro,2026,150.00
Mouse,890,Norte,Fevereiro,2026,80.00
Headset,310,Sul,Fevereiro,2026,300.00
Webcam,420,Centro,Fevereiro,2026,200.00
Impressora,180,Norte,Março,2026,600.00
Scanner,110,Sul,Março,2026,400.00
